id,name,atom_La,atom_Ba,atom_Sr,atom_Pr,atom_Ca,atom_Mn,atom_Fe,atom_Co,atom_Ni,atom_Cu,potential,tsne_0,tsne_1
I01,ZZO3,1,0,0,0,0,1,0,0,0,0,0,0,0
I02,LaYO3,1,0,0,0,0,1,0,0,0,0,0,0,0
I03,BaYO3,0,1,0,0,0,1,0,0,0,0,0,0,0
I04,SrYO3,0,0,1,0,0,1,0,0,0,0,0,0,0
I05,PrYO3,0,0,0,1,0,1,0,0,0,0,0,0,0
I06,CaYO3,0,0,0,0,1,1,0,0,0,0,0,0,0
I07,XMnO3,1,0,0,0,0,1,0,0,0,0,0,0,0
I08,XFeO3,1,0,0,0,0,0,1,0,0,0,0,0,0
I09,XCoO3,1,0,0,0,0,0,0,1,0,0,0,0,0
I10,XNiO3,1,0,0,0,0,0,0,0,1,0,0,0,0
I11,XCuO3,1,0,0,0,0,0,0,0,0,1,0,0,0
I12,LaMnO3,1,0,0,0,0,1,0,0,0,0,0,0,0
I13,LaFeO3,1,0,0,0,0,0,1,0,0,0,0,0,0
I14,LaCoO3,1,0,0,0,0,0,0,1,0,0,0,0,0
I15,LaNiO3,1,0,0,0,0,0,0,0,1,0,0,0,0
I16,LaCuO3,1,0,0,0,0,0,0,0,0,1,0,0,0
I17,BaMnO3,0,1,0,0,0,1,0,0,0,0,0,0,0
I18,BaFeO3,0,1,0,0,0,0,1,0,0,0,0,0,0
I19,BaCoO3,0,1,0,0,0,0,0,1,0,0,0,0,0
I20,BaNiO3,0,1,0,0,0,0,0,0,1,0,0,0,0
I21,BaCuO3,0,1,0,0,0,0,0,0,0,1,0,0,0
I22,SrMnO3,0,0,1,0,0,1,0,0,0,0,0,0,0
I23,SrFeO3,0,0,1,0,0,0,1,0,0,0,0,0,0
I24,SrCoO3,0,0,1,0,0,0,0,1,0,0,0,0,0
I25,SrNiO3,0,0,1,0,0,0,0,0,1,0,0,0,0
I26,SrCuO3,0,0,1,0,0,0,0,0,0,1,0,0,0
I27,PrMnO3,0,0,0,1,0,1,0,0,0,0,0,0,0
I28,PrFeO3,0,0,0,1,0,0,1,0,0,0,0,0,0
I29,PrCoO3,0,0,0,1,0,0,0,1,0,0,0,0,0
I30,PrNiO3,0,0,0,1,0,0,0,0,1,0,0,0,0
I31,PrCuO3,0,0,0,1,0,0,0,0,0,1,0,0,0
I32,CaMnO3,0,0,0,0,1,1,0,0,0,0,0,0,0
I33,CaFeO3,0,0,0,0,1,0,1,0,0,0,0,0,0
I34,CaCoO3,0,0,0,0,1,0,0,1,0,0,0,0,0
I35,CaNiO3,0,0,0,0,1,0,0,0,1,0,0,0,0
I36,CaCuO3,0,0,0,0,1,0,0,0,0,1,0,0,0
I37,XW0.5Mn0.5O3,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0
I38,XY0.5Fe0.5O3,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0
I39,XY0.5Co0.5O3,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0
I40,XY0.5Ni0.5O3,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0
I41,XY0.5Cu0.5O3,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0
I42,V0.5La0.5YO3,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
I43,X0.5Ba0.5YO3,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
I44,X0.5Sr0.5YO3,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0
I45,X0.5Pr0.5YO3,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0
I46,X0.5Ca0.5YO3,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0
I47,XMn0.5Fe0.5O3,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0
I48,XMn0.5Co0.5O3,1,0,0,0,0,0.5,0,0.5,0,0,0,0,0
I49,XMn0.5Ni0.5O3,1,0,0,0,0,0.5,0,0,0.5,0,0,0,0
I50,XMn0.5Cu0.5O3,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0
I51,XFe0.5Co0.5O3,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0
I52,XFe0.5Ni0.5O3,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0
I53,XFe0.5Cu0.5O3,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0
I54,XCo0.5Ni0.5O3,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0
I55,XCo0.5Cu0.5O3,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0
I56,XNi0.5Cu0.5O3,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0
I57,La0.5Ba0.5YO3,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
I58,La0.5Sr0.5YO3,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0
I59,La0.5Pr0.5YO3,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0
I60,La0.5Ca0.5YO3,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0
I61,Ba0.5Sr0.5YO3,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0
I62,Ba0.5Pr0.5YO3,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0
I63,Ba0.5Ca0.5YO3,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0
I64,Sr0.5Pr0.5YO3,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0
I65,Sr0.5Ca0.5YO3,0,0,0.5,0,0.5,1,0,0,0,0,0,0,0
I66,Pr0.5Ca0.5YO3,0,0,0,0.5,0.5,1,0,0,0,0,0,0,0
